"","V1","V2","V3","V4","total"
"566","2020",5,"14","@realDonaldTrump",52743
"567","2020",5,"14","@GutsGlamGlory",36964
"568","2020",5,"14","@BarackObama",30655
"569","2020",5,"14","@CheaTaylor",20617
"570","2020",5,"14","@CNN",19274
"571","2020",5,"15","@realDonaldTrump",55882
"572","2020",5,"15","@CNN",18857
"573","2020",5,"15","@realDonaldTrumps",18721
"574","2020",5,"15","@cutimakan",16531
"575","2020",5,"15","@MoSpruill",16013
"576","2020",5,"16","@realDonaldTrump",87449
"577","2020",5,"16","@CNN",15957
"578","2020",5,"16","@nytimes",15128
"579","2020",5,"16","@narendramodi",15076
"580","2020",5,"16","@CMOyeks",11948
"581","2020",5,"17","@realDonaldTrump",83717
"582","2020",5,"17","@MissGinaDarling",20972
"583","2020",5,"17","@JoeBiden",17204
"584","2020",5,"17","@CNN",16407
"585","2020",5,"17","@RealJamesWoods",15262
"586","2020",5,"18","@realDonaldTrump",85500
"587","2020",5,"18","@DilanTheVillain",28184
"588","2020",5,"18","@OHmes2",25384
"589","2020",5,"18","@RealJamesWoods",21144
"590","2020",5,"18","@ProjectLincoln",18963
"591","2020",5,"19","@realDonaldTrump",61242
"592","2020",5,"19","@JoeBiden",28464
"593","2020",5,"19","@CNN",16901
"594","2020",5,"19","@hshaban",16759
"595","2020",5,"19","@WHO",14174
"596","2020",5,"20","@realDonaldTrump",94387
"597","2020",5,"20","@Toniob38",28441
"598","2020",5,"20","@tribelaw",15076
"599","2020",5,"20","@RyanAFournier",14343
"600","2020",5,"20","@CNN",12282
"601","2020",5,"21","@realDonaldTrump",67597
"602","2020",5,"21","@RealJamesWoods",37687
"603","2020",5,"21","@Toniob38",31120
"604","2020",5,"21","@sayangbolekok",24341
"605","2020",5,"21","@CNN",16968
"606","2020",5,"22","@realDonaldTrump",63384
"607","2020",5,"22","@cigsaftercat",30554
"608","2020",5,"22","@CNN",17764
"609","2020",5,"22","@RealJamesWoods",15618
"610","2020",5,"22","@JoeBiden",12139
"611","2020",5,"23","@realDonaldTrump",37234
"612","2020",5,"23","@piersmorgan",20897
"613","2020",5,"23","@Ndrews1162011",17816
"614","2020",5,"23","@RealJamesWoods",17353
"615","2020",5,"23","@JoeBiden",17169
"616","2020",5,"24","@theprincedylan",73077
"617","2020",5,"24","@realDonaldTrump",72901
"618","2020",5,"24","@nytimes",25536
"619","2020",5,"24","@BorisJohnson",18083
"620","2020",5,"24","@ReicherStephen",17195
"621","2020",5,"25","@realDonaldTrump",88393
"622","2020",5,"25","@theprincedylan",16648
"623","2020",5,"25","@epikhigz",16620
"624","2020",5,"25","@piersmorgan",13309
"625","2020",5,"25","@SpeakerPelosi",13138
"626","2020",5,"26","@realDonaldTrump",74658
"627","2020",5,"26","@sahelhaque",42361
"628","2020",5,"26","@SherriSantosMSN",12361
"629","2020",5,"26","@NYGovCuomo",11881
"630","2020",5,"26","@RahulGandhi",9305
"631","2020",5,"27","@realDonaldTrump",71037
"632","2020",5,"27","@Goodable",24508
