"","Year","Month","Day","Text","Count"
"666",2021,10,16,"covid-19",23554
"667",2021,10,16,"covid19",16109
"668",2021,10,16,"covid",15351
"669",2021,10,16,"vacunarsedependedeti",3178
"670",2021,10,16,"coronavirus",2347
"671",2021,10,20,"covid-19",25774
"672",2021,10,20,"covid",19549
"673",2021,10,20,"covid19",18462
"674",2021,10,20,"coronavirus",3384
"675",2021,10,20,"delta",3068
"676",2021,10,23,"covid-19",18262
"677",2021,10,23,"covid",16107
"678",2021,10,23,"covid19",14063
"679",2021,10,23,"coronavirus",1987
"680",2021,10,23,"delta",1979
"681",2021,10,24,"covid-19",19833
"682",2021,10,24,"covid",14946
"683",2021,10,24,"covid19",13821
"684",2021,10,24,"vacunarseesvida",5987
"685",2021,10,24,"coronavirus",1938
"686",2021,10,25,"covid-19",26457
"687",2021,10,25,"covid",17994
"688",2021,10,25,"covid19",17009
"689",2021,10,25,"mractimel",4397
"690",2021,10,25,"coronavirus",3035
"691",2021,10,27,"covid-19",28303
"692",2021,10,27,"covid19",27616
"693",2021,10,27,"covid",20695
"694",2021,10,27,"uci",4105
"695",2021,10,27,"flexibilizaciónconsciente",3470
"696",2021,10,28,"covid",31368
"697",2021,10,28,"covid-19",29393
"698",2021,10,28,"covid19",19558
"699",2021,10,28,"uci",10168
"700",2021,10,28,"coronavirus",3049
"701",2021,10,29,"covid-19",28370
"702",2021,10,29,"covid",22967
"703",2021,10,29,"covid19",21521
"704",2021,10,29,"coronavirus",3913
"705",2021,10,29,"uci",1992
"706",2021,10,30,"covid-19",22246
"707",2021,10,30,"covid",19410
"708",2021,10,30,"covid19",15555
"709",2021,10,30,"coronavirus",2510
"710",2021,10,30,"delta",2416
"711",2021,11,1,"covid-19",25937
"712",2021,11,1,"covid",16774
"713",2021,11,1,"covid19",16715
"714",2021,11,1,"coronavirus",2264
"715",2021,11,1,"rkivevcut",1539
"716",2021,11,2,"covid-19",24815
"717",2021,11,2,"covid19",16089
"718",2021,11,2,"covid",15700
"719",2021,11,2,"delta",2823
"720",2021,11,2,"coronavirus",2189
"721",2021,11,3,"covid-19",28607
"722",2021,11,3,"covid",21869
"723",2021,11,3,"covid19",15253
"724",2021,11,3,"pcr",3923
"725",2021,11,3,"coronavirus",3635
"726",2021,11,4,"covid-19",32299
"727",2021,11,4,"covid",22713
"728",2021,11,4,"covid19",19286
"729",2021,11,4,"coronavirus",3913
